,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_0.25-0,0.19001197814941406,0.0,274,274.0,0,900,integer optimal solution
30_0.25_0.25-1,0.06668591499328613,0.0,309,309.0,0,338,integer optimal solution
30_0.25_0.25-2,,,,,,,
30_0.25_0.25-3,0.14234399795532227,0.0,314,314.0,0,766,integer optimal solution
30_0.25_0.25-4,8.638530015945435,0.0,324,324.0,71649,612003,integer optimal solution
30_0.25_0.5-0,0.11574006080627441,0.0,477,477.0,0,696,integer optimal solution
30_0.25_0.5-1,0.08250999450683594,0.0,264,264.0,0,431,integer optimal solution
30_0.25_0.5-2,0.039823055267333984,0.0,287,287.0,0,158,integer optimal solution
30_0.25_0.5-3,0.2632761001586914,0.0,299,299.0,0,941,integer optimal solution
30_0.25_0.5-4,0.2557380199432373,0.0,344,344.0,725,11873,integer optimal solution
30_0.25_0.75-0,0.2866067886352539,0.0,231,231.0,0,1045,integer optimal solution
30_0.25_0.75-1,0.3858671188354492,0.0,308,308.0,613,12654,integer optimal solution
30_0.25_0.75-2,0.10348701477050781,0.0,259,259.0,0,467,integer optimal solution
30_0.25_0.75-3,0.08876204490661621,0.0,344,344.0,0,364,integer optimal solution
30_0.25_0.75-4,0.4090900421142578,0.0,229,229.0,1191,14763,integer optimal solution
30_0.5_0.25-0,0.08327984809875488,0.0,172,172.0,0,288,integer optimal solution
30_0.5_0.25-1,0.06183195114135742,0.0,121,121.0,0,248,integer optimal solution
30_0.5_0.25-2,2.395591974258423,0.0,107,107.0,28597,216089,integer optimal solution
30_0.5_0.25-3,0.05856490135192871,0.0,121,121.0,0,253,integer optimal solution
30_0.5_0.25-4,0.06307506561279297,0.0,119,119.0,0,254,integer optimal solution
30_0.5_0.5-0,0.10755395889282227,0.0,110,110.00000000000028,0,395,integer optimal solution
30_0.5_0.5-1,0.1212611198425293,0.0,156,156.0,0,339,integer optimal solution
30_0.5_0.5-2,0.608961820602417,0.0,111,111.0,6605,46675,integer optimal solution
30_0.5_0.5-3,0.09849190711975098,0.0,144,144.0,0,250,integer optimal solution
30_0.5_0.5-4,0.15497589111328125,0.0,87,87.0,1147,8765,integer optimal solution
30_0.5_0.75-0,0.20253205299377441,0.0,106,106.0,0,400,integer optimal solution
30_0.5_0.75-1,0.1428089141845703,0.0,89,89.0,0,317,integer optimal solution
30_0.5_0.75-2,0.1635129451751709,0.0,128,128.0,0,331,integer optimal solution
30_0.5_0.75-3,207.51531386375427,0.0,157,157.0,765450,6785344,integer optimal solution
30_0.5_0.75-4,0.08660602569580078,0.0,69,69.0,0,193,integer optimal solution
30_0.75_0.25-0,0.1942448616027832,0.0,85,85.0,713,4253,integer optimal solution
30_0.75_0.25-1,0.08945608139038086,0.0,80,80.0,0,287,integer optimal solution
30_0.75_0.25-2,2.1741280555725098,0.0,66,66.0,20572,117870,integer optimal solution
30_0.75_0.25-3,0.11131596565246582,0.0,59,59.0,0,442,integer optimal solution
30_0.75_0.25-4,0.10206413269042969,0.0,93,93.0,0,245,integer optimal solution
30_0.75_0.5-0,0.2427358627319336,0.0,42,42.0,0,469,integer optimal solution
30_0.75_0.5-1,0.1264967918395996,0.0,82,82.0,0,227,integer optimal solution
30_0.75_0.5-2,0.17344188690185547,0.0,67,67.0,0,296,integer optimal solution
30_0.75_0.5-3,0.15724706649780273,0.0,76,76.0,0,339,integer optimal solution
30_0.75_0.5-4,0.2960529327392578,0.0,59,59.0,0,388,integer optimal solution
30_0.75_0.75-0,0.19050288200378418,0.0,97,97.0,0,246,integer optimal solution
30_0.75_0.75-1,0.24176883697509766,0.0,83,83.0,0,280,integer optimal solution
30_0.75_0.75-2,0.24823212623596191,0.0,70,70.0,0,376,integer optimal solution
30_0.75_0.75-3,0.23935222625732422,0.0,84,84.0,0,326,integer optimal solution
30_0.75_0.75-4,0.19589614868164062,0.0,76,76.0,0,432,integer optimal solution
60_0.25_0.25-0,0.22956395149230957,0.0,222,222.0,0,732,integer optimal solution
60_0.25_0.25-1,1.5195350646972656,0.0,218,218.0,3435,42579,integer optimal solution
60_0.25_0.25-2,0.41689205169677734,0.0,190,190.0,0,1818,integer optimal solution
60_0.25_0.25-3,0.5772919654846191,0.0,275,275.0,0,2063,integer optimal solution
60_0.25_0.25-4,0.38511085510253906,0.0,247,247.0,0,1104,integer optimal solution
60_0.25_0.5-0,0.33846282958984375,0.0,230,230.0,0,557,integer optimal solution
60_0.25_0.5-1,0.28173112869262695,0.0,224,224.0,0,567,integer optimal solution
60_0.25_0.5-2,387.1732032299042,0.0,230,230.0,614169,10366185,integer optimal solution
60_0.25_0.5-3,0.370042085647583,0.0,250,250.0,0,770,integer optimal solution
60_0.25_0.5-4,2.089663028717041,0.0,246,246.0,1644,19553,integer optimal solution
60_0.25_0.75-0,0.7572541236877441,0.0,258,258.0,0,1352,integer optimal solution
60_0.25_0.75-1,0.40959906578063965,0.0,302,302.0,0,611,integer optimal solution
60_0.25_0.75-2,7201.41517996788,1.7543859649120044,285,279.99999999999903,3931547,64197925,time limit exceeded
60_0.25_0.75-3,1.0521061420440674,0.0,215,215.0,0,2672,integer optimal solution
60_0.25_0.75-4,0.5317959785461426,0.0,209,209.0,0,1187,integer optimal solution
60_0.5_0.25-0,0.48595309257507324,0.0,60,60.0,0,716,integer optimal solution
60_0.5_0.25-1,0.5402400493621826,0.0,98,98.0,0,1137,integer optimal solution
60_0.5_0.25-2,7200.0201580524445,1.8658424908552078,104,102.05952380950872,8212572,97980505,time limit exceeded
60_0.5_0.25-3,0.6671199798583984,0.0,119,119.00000000000006,0,1062,integer optimal solution
60_0.5_0.25-4,0.5076289176940918,0.0,120,120.0,0,695,integer optimal solution
60_0.5_0.5-0,0.9272329807281494,0.0,105,105.0,0,702,integer optimal solution
60_0.5_0.5-1,1.5367059707641602,0.0,115,115.0,0,1297,integer optimal solution
60_0.5_0.5-2,2.227599859237671,0.0,115,115.0,369,5170,integer optimal solution
60_0.5_0.5-3,1.3297688961029053,0.0,107,107.0,0,1803,integer optimal solution
60_0.5_0.5-4,1.2109179496765137,0.0,107,107.0,169,2717,integer optimal solution
60_0.5_0.75-0,1.3862090110778809,0.0,93,93.0,0,798,integer optimal solution
60_0.5_0.75-1,2.101722002029419,0.0,88,88.0,0,1576,integer optimal solution
60_0.5_0.75-2,1.197598934173584,0.0,99,99.0,0,814,integer optimal solution
60_0.5_0.75-3,1.2908689975738525,0.0,105,105.0,0,1108,integer optimal solution
60_0.5_0.75-4,2.265789031982422,0.0,98,98.0,1257,14863,integer optimal solution
60_0.75_0.25-0,0.985145092010498,0.0,47,47.0,0,993,integer optimal solution
60_0.75_0.25-1,3.163219928741455,0.0,67,67.0,4771,42024,integer optimal solution
60_0.75_0.25-2,4.154433965682983,0.0,52,52.0,16619,137190,integer optimal solution
60_0.75_0.25-3,1.262887954711914,0.0,50,50.0,263,2947,integer optimal solution
60_0.75_0.25-4,3.5634069442749023,0.0,65,65.0,11595,111798,integer optimal solution
60_0.75_0.5-0,2.3323769569396973,0.0,55,55.0,0,905,integer optimal solution
60_0.75_0.5-1,4.767055034637451,0.0,70,70.00000000000011,0,3113,integer optimal solution
60_0.75_0.5-2,2.163952112197876,0.0,58,58.0,0,1460,integer optimal solution
60_0.75_0.5-3,7201.872567892075,8.58585858584174,45,41.13636363636263,12423704,79733522,time limit exceeded
60_0.75_0.5-4,1.989227056503296,0.0,46,46.0,0,1319,integer optimal solution
60_0.75_0.75-0,3.5699210166931152,0.0,47,47.0,1568,10638,integer optimal solution
60_0.75_0.75-1,3.8912911415100098,0.0,56,56.0,0,1359,integer optimal solution
60_0.75_0.75-2,3.4298110008239746,0.0,65,65.0,0,1156,integer optimal solution
60_0.75_0.75-3,3.129879951477051,0.0,69,69.0,0,1682,integer optimal solution
60_0.75_0.75-4,3.3425049781799316,0.0,56,56.0,0,1672,integer optimal solution
90_0.25_0.25-0,54.129575967788696,0.0,239,239.0,122868,1813891,integer optimal solution
90_0.25_0.25-1,3.1372780799865723,0.0,178,178.0,5715,76063,integer optimal solution
90_0.25_0.25-2,1.8570020198822021,0.0,173,173.0,1126,17071,integer optimal solution
90_0.25_0.25-3,0.908473014831543,0.0,217,217.0,0,1294,integer optimal solution
90_0.25_0.25-4,7201.767961025238,4.255319148934444,235,224.9999999999998,3406748,69026752,time limit exceeded
90_0.25_0.5-0,3.328857183456421,0.0,256,256.0,0,1261,integer optimal solution
90_0.25_0.5-1,1.49462890625,0.0,179,179.0,0,1215,integer optimal solution
90_0.25_0.5-2,1.6507890224456787,0.0,199,199.0,0,2074,integer optimal solution
90_0.25_0.5-3,2.3949930667877197,0.0,266,266.0,0,1880,integer optimal solution
90_0.25_0.5-4,6.613019943237305,0.0,217,217.0,12644,134159,integer optimal solution
90_0.25_0.75-0,2.2454471588134766,0.0,191,191.0,0,1232,integer optimal solution
90_0.25_0.75-1,7200.018918037415,1.0695187165828652,187,184.99999999998897,4495963,57566629,time limit exceeded
90_0.25_0.75-2,1.9359171390533447,0.0,164,164.0,0,1560,integer optimal solution
90_0.25_0.75-3,6.390347003936768,0.0,246,246.0,208,12445,integer optimal solution
90_0.25_0.75-4,2.0927720069885254,0.0,200,200.0,0,1216,integer optimal solution
90_0.5_0.25-0,2.751837968826294,0.0,99,99.0,0,2955,integer optimal solution
90_0.5_0.25-1,4.362497091293335,0.0,80,80.0,0,3007,integer optimal solution
90_0.5_0.25-2,3.489535093307495,0.0,68,68.0,29,2173,integer optimal solution
90_0.5_0.25-3,4.477283000946045,0.0,80,80.00000000000139,5150,26868,integer optimal solution
90_0.5_0.25-4,830.8986701965332,0.0,90,90.0,1466888,16833826,integer optimal solution
90_0.5_0.5-0,5.2138471603393555,0.0,100,100.0,0,1929,integer optimal solution
90_0.5_0.5-1,5.248260021209717,0.0,90,90.0,0,1641,integer optimal solution
90_0.5_0.5-2,779.337427854538,0.0,86,86.0,1487247,14443583,integer optimal solution
90_0.5_0.5-3,9.154382944107056,0.0,90,90.0,8407,123083,integer optimal solution
90_0.5_0.5-4,5.877068042755127,0.0,83,83.0,542,6665,integer optimal solution
90_0.5_0.75-0,8.993710041046143,0.0,69,69.0,2980,25550,integer optimal solution
90_0.5_0.75-1,40.064456939697266,0.0,104,104.0,180611,1342570,integer optimal solution
90_0.5_0.75-2,11.940468072891235,0.0,100,100.0,0,2319,integer optimal solution
90_0.5_0.75-3,9.781814813613892,0.0,81,81.0,3965,27945,integer optimal solution
90_0.5_0.75-4,11.37030577659607,0.0,86,86.0,0,2439,integer optimal solution
90_0.75_0.25-0,5.36565899848938,0.0,38,38.0,0,2484,integer optimal solution
90_0.75_0.25-1,7.227097034454346,0.0,41,41.0,0,3609,integer optimal solution
90_0.75_0.25-2,7201.364625930786,5.405405405401301,37,34.99999999999611,6126423,69568237,time limit exceeded
90_0.75_0.25-3,9.211440086364746,0.0,31,31.0,1399,25414,integer optimal solution
90_0.75_0.25-4,5.623522043228149,0.0,46,46.0,0,2671,integer optimal solution
90_0.75_0.5-0,12.93100380897522,0.0,28,28.0,0,3805,integer optimal solution
90_0.75_0.5-1,12.141120910644531,0.0,25,25.0,0,2561,integer optimal solution
90_0.75_0.5-2,1512.085813999176,0.0,49,49.0,2742794,26632893,integer optimal solution
90_0.75_0.5-3,12.531320095062256,0.0,36,36.0,0,2420,integer optimal solution
90_0.75_0.5-4,13.520138025283813,0.0,34,34.0,0,3098,integer optimal solution
90_0.75_0.75-0,7201.7055060863495,11.111111111095166,45,39.999999999996064,6209583,57312198,time limit exceeded
90_0.75_0.75-1,20.839550018310547,0.0,52,52.0,0,2981,integer optimal solution
90_0.75_0.75-2,345.2280831336975,0.0,45,45.0,801186,10565266,integer optimal solution
90_0.75_0.75-3,21.00693392753601,0.0,38,38.0,0,2318,integer optimal solution
90_0.75_0.75-4,23.581294059753418,0.0,34,34.0,0,2734,integer optimal solution
120_0.25_0.25-0,3.396034002304077,0.0,177,177.0,30,3888,integer optimal solution
120_0.25_0.25-1,4.030479907989502,0.0,185,185.0,389,6197,integer optimal solution
120_0.25_0.25-2,2.6578869819641113,0.0,199,199.0,0,2143,integer optimal solution
120_0.25_0.25-3,7201.330984115601,2.1592444399137216,203,198.616733786973,3240295,73311605,time limit exceeded
120_0.25_0.25-4,3.255951166152954,0.0,166,166.0,0,1933,integer optimal solution
120_0.25_0.5-0,26.442726135253906,0.0,233,233.0,7302,165525,integer optimal solution
120_0.25_0.5-1,5.66064190864563,0.0,193,193.0,1128,27930,integer optimal solution
120_0.25_0.5-2,7202.187257051468,2.5641025641013377,182,177.333333333333,2621571,58180827,time limit exceeded
120_0.25_0.5-3,10.216249942779541,0.0,230,230.0,6783,100507,integer optimal solution
120_0.25_0.5-4,4.236621856689453,0.0,222,222.0,0,2014,integer optimal solution
120_0.25_0.75-0,2150.997636079788,3.7558685446133486,213,204.9999999999697,1623840,17551874,memory limit exceeded
120_0.25_0.75-1,10.096104860305786,0.0,236,236.0,0,2026,integer optimal solution
120_0.25_0.75-2,54.22823119163513,0.0,203,203.00000000000034,68988,746840,integer optimal solution
120_0.25_0.75-3,6.493377923965454,0.0,242,242.0,0,1532,integer optimal solution
120_0.25_0.75-4,7.039118051528931,0.0,192,192.0,0,1688,integer optimal solution
120_0.5_0.25-0,9.963682889938354,0.0,66,66.0,0,3303,integer optimal solution
120_0.5_0.25-1,1560.243054151535,7.954545454536334,88,81.00000000000007,1742753,13573959,memory limit exceeded
120_0.5_0.25-2,7.4861719608306885,0.0,78,78.0,0,3318,integer optimal solution
120_0.5_0.25-3,9.656784057617188,0.0,73,73.0,0,3672,integer optimal solution
120_0.5_0.25-4,9.794651985168457,0.0,80,80.0,0,3382,integer optimal solution
120_0.5_0.5-0,38.80832505226135,0.0,65,65.0,0,3962,integer optimal solution
120_0.5_0.5-1,58.00456190109253,0.0,72,72.00000000000001,204143,5039787,integer optimal solution
120_0.5_0.5-2,27.152045011520386,0.0,51,51.0,0,4466,integer optimal solution
120_0.5_0.5-3,7200.011367082596,1.5151515151491548,66,65.00000000000004,31025833,310841357,time limit exceeded
120_0.5_0.5-4,7208.025060892105,4.347826086950221,69,66.0,4209592,47687558,time limit exceeded
120_0.5_0.75-0,48.35343599319458,0.0,54,54.0,0,3663,integer optimal solution
120_0.5_0.75-1,39.98073077201843,0.0,58,58.0,0,2720,integer optimal solution
120_0.5_0.75-2,66.20016503334045,0.0,80,80.0,6,9000,integer optimal solution
120_0.5_0.75-3,195.5388150215149,0.0,68,68.0,159081,1954305,integer optimal solution
120_0.5_0.75-4,64.56325101852417,0.0,76,76.0,0,5478,integer optimal solution
120_0.75_0.25-0,24.96351718902588,0.0,38,38.0,0,4418,integer optimal solution
120_0.75_0.25-1,36.92562413215637,0.0,49,49.0,13289,179651,integer optimal solution
120_0.75_0.25-2,20.16834306716919,0.0,32,32.0,0,3829,integer optimal solution
120_0.75_0.25-3,25.594709873199463,0.0,37,37.0,0,3691,integer optimal solution
120_0.75_0.25-4,33.84030103683472,0.0,36,36.0,7394,34510,integer optimal solution
120_0.75_0.5-0,55.983789920806885,0.0,34,34.0,0,3932,integer optimal solution
120_0.75_0.5-1,54.047465801239014,0.0,32,32.0,0,4369,integer optimal solution
120_0.75_0.5-2,7200.010012149811,3.448275862057075,29,28.0,32281150,312561250,time limit exceeded
120_0.75_0.5-3,53.242435932159424,0.0,31,31.0,0,2711,integer optimal solution
120_0.75_0.5-4,56.13618588447571,0.0,33,33.0,0,3537,integer optimal solution
120_0.75_0.75-0,221.83448696136475,0.0,32,32.0,599406,3641868,integer optimal solution
120_0.75_0.75-1,161.91648411750793,0.0,37,37.0,0,6040,integer optimal solution
120_0.75_0.75-2,132.49356293678284,0.0,36,36.0,0,3915,integer optimal solution
120_0.75_0.75-3,7201.752995014191,5.714285714269388,35,33.0,11426577,80439269,time limit exceeded
120_0.75_0.75-4,141.10437202453613,0.0,37,37.0,0,4382,integer optimal solution
